event_time,event_type,product_id,category_code,brand,price,user_id,user_session
2023-02-22 20:07:05,view,3670280,construction.tools.light,xiaomi,41.83,776149,s776149_0
2023-01-15 20:22:32,view,2468841,accessories.bag,xiaomi,22.31,775373,s775373_2
2023-02-02 04:22:26,cart,6672741,kids.toys,logitech,,501465,s501465_0
2023-01-19 01:19:25,cart,6831333,construction.tools.light,huawei,39.2,816453,s816453_19
2023-03-22 00:14:19,view,9406307,computers.notebook,ikea,774.61,580222,s580222_2
2023-03-17 21:57:00,view,5011735,furniture.living_room.sofa,xiaomi,395.81,218165,s218165_12
2023-01-04 16:04:08,cart,8786652,appliances.kitchen.refrigerators,apple,777.45,942342,s942342_4
2023-01-07 20:32:25,cart,1905578,electronics.audio.headphone,nan,92.83,578271,s578271_1
2023-03-20 14:33:52,view,8386381,appliances.kitchen.refrigerators,adidas,494.82,853727,s853727_1
2023-03-28 15:27:53,view,5414161,,samsung,302.74,144067,s144067_0
2023-02-17 16:12:21,view,6217084,sport.bicycle,apple,206.55,321329,s321329_2
2023-01-12 07:32:04,purchase,3479718,apparel.shoes,nike,38.81,853643,s853643_2
2023-02-11 01:11:21,view,4205508,appliances.kitchen.refrigerators,lg,601.68,633660,s633660_2
2023-02-27 02:30:38,view,5939572,apparel.shoes,apple,48.67,434417,s434417_3
2023-03-02 23:07:18,view,3108703,electronics.audio.headphone,adidas,83.8,294064,s294064_2
2023-03-13 20:13:45,view,4296334,accessories.bag,samsung,53.42,235605,s235605_1
2023-01-13 14:58:20,view,9860126,construction.tools.light,nike,27.26,897761,s897761_5
2023-03-06 04:50:47,view,2800049,apparel.shoes,huawei,93.49,761158,s761158_23
2023-01-09 04:49:30,view,7258562,kids.toys,nike,21.54,303335,s303335_5
2023-02-06 03:12:57,view,9846473,appliances.kitchen.refrigerators,bosch,642.09,771412,s771412_12
2023-02-18 14:37:38,view,2414546,auto.accessories,sony,35.18,665036,s665036_0
2023-03-06 04:30:52,purchase,4008901,apparel.shirt,samsung,20.66,315534,s315534_0
2023-03-16 13:58:10,view,6062225,computers.notebook,nan,646.66,876293,s876293_2
2023-03-08 22:13:58,view,9135599,construction.tools.light,nike,26.06,726870,s726870_3
2023-03-12 14:27:29,purchase,2558007,furniture.living_room.sofa,sony,487.98,636437,s636437_0
2023-01-20 18:44:58,view,4671179,sport.bicycle,xiaomi,204.08,481248,s481248_4
2023-03-17 09:04:27,view,3685753,kids.toys,xiaomi,20.77,171328,s171328_2
2023-03-01 01:34:38,view,9869040,computers.notebook,apple,1195.13,158977,s158977_24
2023-01-25 15:45:39,purchase,6849197,apparel.shoes,ikea,71.96,309360,s309360_2
2023-01-18 23:45:43,view,4508319,apparel.shirt,lg,15.87,753143,s753143_2
2023-01-09 23:09:18,view,4124865,auto.accessories,nike,50.69,267189,s267189_15
2023-03-30 16:12:22,view,3967419,electronics.smartphone,ikea,497.85,448730,s448730_6
2023-01-30 02:22:25,view,3705003,electronics.smartphone,sony,513.09,440485,s440485_10
2023-03-06 03:37:30,view,1569541,construction.tools.light,nike,17.84,302145,s302145_1
2023-01-10 14:45:10,cart,5700472,electronics.audio.headphone,huawei,60.77,701561,s701561_3
2023-02-11 22:50:21,view,6895003,electronics.audio.headphone,nan,90.39,446832,s446832_20
2023-02-13 09:27:16,view,9032126,accessories.bag,nike,56.3,139753,s139753_1
2023-01-20 04:04:16,cart,2826687,furniture.living_room.sofa,nike,356.55,667958,s667958_7
2023-02-16 01:52:09,view,4691437,accessories.bag,nike,39.01,843357,s843357_16
2023-01-13 10:37:37,purchase,2950311,kids.toys,bosch,6.6,433829,s433829_0
2023-01-20 15:17:18,view,6838718,,ikea,303.06,622954,s622954_8
2023-01-19 06:33:43,view,2627047,appliances.kitchen.refrigerators,nan,620.36,382995,s382995_4
2023-02-11 13:11:58,view,7012985,computers.notebook,ikea,370.28,400861,s400861_1
2023-01-06 17:51:29,cart,6386039,electronics.audio.headphone,adidas,54.08,760119,s760119_2
2023-01-10 06:37:28,view,6202600,apparel.shoes,nan,42.96,993696,s993696_7
2023-03-02 15:18:16,view,3306909,auto.accessories,apple,68.97,362094,s362094_14
2023-01-05 21:12:15,purchase,6468763,computers.notebook,samsung,929.81,788631,s788631_21
2023-01-31 23:35:09,purchase,5565065,sport.bicycle,nan,,447706,s447706_10
2023-03-20 17:50:55,view,4473244,apparel.shoes,bosch,92.01,837818,s837818_1
2023-02-17 01:12:28,purchase,5097131,apparel.shirt,bosch,22.72,214218,s214218_2
2023-02-01 02:49:14,cart,6883815,sport.bicycle,xiaomi,365.93,233004,s233004_12
